Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,Derke,,,9,200,146,34,1.36,1.6,278,22.2,16.2,3.7
2,leaf,,,10,210,176,58,1.19,1.52,263,21,17.6,5.8
3,Sacy,,,7,133,105,62,1.26,1.85,253,19,15,8.8
4,ScreaM,,,9,164,135,31,1.21,1.44,251,18.2,15,3.4
5,heat,,,5,88,72,8,1.22,1.33,247,17.6,14.4,1.6
6,keznit,,,14,272,236,69,1.15,1.44,246,19.4,16.8,4.9
7,Yay,,,7,132,107,22,1.23,1.43,242,18.8,15.2,3.1
8,DubsteP,,,9,141,123,18,1.14,1.29,237,15.6,13.6,2
9,BuZz,,,8,136,122,25,1.11,1.31,237,17,15.2,3.1
10,Patiphan,,,10,168,150,48,1.12,1.44,237,16.8,15,4.8
11,Chronicle,,,17,295,229,81,1.28,1.64,236,17.3,13.4,4.7
12,xand,,,6,106,103,23,1.02,1.25,231,17.6,17.1,3.8
13,Saadhak,,,7,108,105,59,1.02,1.59,229,15.4,15,8.4
14,d3ffo,,,17,275,254,59,1.08,1.31,226,16.1,14.9,3.4
15,ShahZaM,,,9,160,134,59,1.19,1.63,226,17.7,14.8,6.5
16,cNed,,,14,230,194,62,1.18,1.5,225,16.4,13.8,4.4
17,TenZ,,,9,152,143,38,1.06,1.32,225,16.8,15.8,4.2
18,zeek,,,14,224,187,100,1.19,1.73,224,16,13.3,7.1
19,sushiboys,,,10,168,143,45,1.17,1.48,222,16.8,14.3,4.5
20,Mazino,,,14,226,226,92,1,1.4,215,16.1,16.1,6.5
21,LAMMYSNAX,,,4,61,65,20,0.93,1.24,213,15.2,16.2,5
22,Dispenser,,,9,132,112,42,1.17,1.55,212,14.6,12.4,4.6
23,nAts,,,17,266,228,95,1.16,1.58,210,15.6,13.4,5.5
24,Fisker,,,4,55,67,10,0.82,0.97,206,13.7,16.7,2.5
25,Nozwerr,,,6,97,85,38,1.14,1.58,205,16.1,14.1,6.3
26,Crashies,,,7,117,96,51,1.21,1.75,205,16.7,13.7,7.2
27,Bazzi,,,2,28,31,14,0.9,1.35,205,14,15.5,7
28,witz,,,9,117,115,43,1.01,1.39,204,13,12.7,4.7
29,SicK,,,9,143,136,55,1.05,1.45,203,15.8,15.1,6.1
30,Lakia,,,1,15,16,3,0.93,1.12,203,15,16,3
31,Doma,,,9,151,131,79,1.15,1.75,202,16.7,14.5,8.7
32,JessieVash,,,9,101,120,64,0.84,1.37,201,11.2,13.3,7.1
33,Marved,,,7,106,111,50,0.95,1.4,200,15.1,15.8,7.1
34,foxz,,,10,144,145,57,0.99,1.38,199,14.4,14.5,5.7
35,Nivera,,,9,133,115,47,1.15,1.56,197,14.7,12.7,5.2
36,Khalil,,,6,88,103,41,0.85,1.25,196,14.6,17.1,6.8
37,dapr,,,9,130,141,52,0.92,1.29,195,14.4,15.6,5.7
38,starxo,,,14,208,197,78,1.05,1.45,195,14.8,14,5.5
39,Xeppaa,,,10,154,174,77,0.88,1.32,195,15.4,17.4,7.7
40,Medusa,,,2,24,32,7,0.75,0.96,193,12,16,3.5
41,stax,,,8,126,119,47,1.05,1.45,192,15.7,14.8,5.8
42,JohnOlsen,,,4,53,68,16,0.77,1.01,192,13.2,17,4
43,NagZ,,,14,211,214,51,0.98,1.22,191,15,15.2,3.6
44,Sheydos,,,17,240,249,82,0.96,1.29,191,14.1,14.6,4.8
45,gtnziN,,,7,100,103,21,0.97,1.17,190,14.2,14.7,3
