Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,heat,,,6,126,91,17,1.38,1.57,280,21,15.1,2.8
2,Yay,,,11,244,170,37,1.43,1.65,280,22.1,15.4,3.3
3,TenZ,,,12,229,166,47,1.37,1.66,269,19,13.8,3.9
4,cNed,,,10,205,151,37,1.35,1.6,267,20.5,15.1,3.7
5,nAts,,,15,276,197,93,1.4,1.87,265,18.4,13.1,6.2
6,keloqz,,,14,261,197,28,1.32,1.46,257,18.6,14,2
7,Laz,,,5,81,66,18,1.22,1.5,248,16.2,13.2,3.6
8,Asuna,,,10,171,162,39,1.05,1.29,247,17.1,16.2,3.9
9,murizzz,,,6,103,95,30,1.08,1.4,239,17.1,15.8,5
10,BuZz,,,7,124,101,16,1.22,1.38,238,17.7,14.4,2.2
11,nukkye,,,14,218,177,81,1.23,1.68,232,15.5,12.6,5.7
12,Bunny,,,10,144,146,33,0.98,1.21,228,14.4,14.6,3.3
13,f0rsakeN,,,5,88,90,11,0.97,1.1,227,17.6,18,2.2
14,keznit,,,9,154,148,45,1.04,1.34,227,17.1,16.4,5
15,zeek,,,10,165,147,54,1.12,1.48,225,16.5,14.7,5.4
16,Chronicle,,,15,245,182,112,1.34,1.96,222,16.3,12.1,7.4
17,Izzy,,,8,133,119,24,1.11,1.31,221,16.6,14.8,3
18,d3ffo,,,15,241,193,40,1.24,1.45,220,16,12.8,2.6
19,SicK,,,12,183,173,73,1.05,1.47,220,15.2,14.4,6
20,Crashies,,,11,187,168,81,1.11,1.59,218,17,15.2,7.3
21,Medusa,,,3,50,48,10,1.04,1.25,217,16.6,16,3.3
22,Ethan,,,10,159,148,50,1.07,1.41,212,15.9,14.8,5
23,Sheydos,,,15,240,185,57,1.29,1.6,212,16,12.3,3.8
24,ShahZaM,,,12,179,161,56,1.11,1.45,212,14.9,13.4,4.6
25,russ,,,8,118,118,46,1,1.38,212,14.7,14.7,5.7
26,Bazzi,,,3,34,43,11,0.79,1.04,211,11.3,14.3,3.6
27,takej,,,5,70,67,23,1.04,1.38,209,14,13.4,4.6
28,NagZ,,,9,127,134,32,0.94,1.18,209,14.1,14.8,3.5
29,Brave,,,8,113,120,56,0.94,1.4,209,14.1,15,7
30,krain,,,4,50,63,19,0.79,1.09,205,12.5,15.7,4.7
31,MaKo,,,7,103,81,59,1.27,2,205,14.7,11.5,8.4
32,Victor,,,11,176,167,85,1.05,1.56,203,16,15.1,7.7
33,nitr0,,,10,161,128,62,1.25,1.74,202,16.1,12.8,6.2
34,Munchkin,,,6,82,95,17,0.86,1.04,199,13.6,15.8,2.8
35,Marved,,,11,174,166,67,1.04,1.45,196,15.8,15,6
36,shion,,,4,54,69,7,0.78,0.88,193,13.5,17.2,1.7
37,pAura,,,8,110,113,38,0.97,1.3,191,13.7,14.1,4.7
38,Esperanza,,,10,125,148,48,0.84,1.16,191,12.5,14.8,4.8
39,d4v41,,,5,71,83,28,0.85,1.19,190,14.2,16.6,5.6
40,k1Ng,,,6,80,87,23,0.91,1.18,187,13.3,14.5,3.8
41,Hiko,,,10,128,124,65,1.03,1.55,187,12.8,12.4,6.5
42,Rb,,,7,96,92,57,1.04,1.66,184,13.7,13.1,8.1
43,mixwell,,,14,170,187,75,0.9,1.31,183,12.1,13.3,5.3
44,starxo,,,10,136,147,70,0.92,1.4,182,13.6,14.7,7
45,pleets,,,4,46,62,24,0.74,1.12,181,11.5,15.5,6
46,liazzi,,,4,48,61,8,0.78,0.91,180,12,15.2,2
47,delz1k,,,9,118,136,39,0.86,1.15,179,13.1,15.1,4.3
48,neth,,,6,79,89,27,0.88,1.19,179,13.1,14.8,4.5
49,ntk,,,6,81,93,32,0.87,1.21,178,13.5,15.5,5.3
50,koldamenta,,,14,170,179,95,0.94,1.48,177,12.1,12.7,6.7
51,stax,,,7,103,88,49,1.17,1.72,177,14.7,12.5,7
52,Redgar,,,15,194,194,101,1,1.52,176,12.9,12.9,6.7
53,AvovA,,,14,181,178,74,1.01,1.43,176,12.9,12.7,5.2
54,Klaus,,,9,108,128,39,0.84,1.14,175,12,14.2,4.3
55,steel,,,10,120,152,57,0.78,1.16,174,12,15.2,5.7
56,zunba,,,10,120,144,51,0.83,1.18,173,12,14.4,5.1
57,Mazino,,,9,110,139,64,0.79,1.25,169,12.2,15.4,7.1
58,v1xen,,,6,83,77,40,1.07,1.59,166,13.8,12.8,6.6
59,crow,,,5,52,62,25,0.83,1.24,165,10.4,12.4,5
60,dapr,,,12,138,171,58,0.8,1.14,164,11.5,14.2,4.8
61,Kiles,,,10,124,159,50,0.77,1.09,163,12.4,15.9,5
62,Turko,,,8,103,103,47,1,1.45,163,12.8,12.8,5.8
63,JhoW,,,6,74,86,42,0.86,1.34,161,12.3,14.3,7
64,FiveK,,,10,105,155,45,0.67,0.96,159,10.5,15.5,4.5
65,zombs,,,12,137,157,79,0.87,1.37,156,11.4,13,6.5
66,myssen,,,4,40,61,18,0.65,0.95,156,10,15.2,4.5
67,Efina,,,10,97,139,22,0.69,0.85,155,9.7,13.9,2.2
68,Reita,,,5,47,74,11,0.63,0.78,152,9.4,14.8,2.2
69,mindfreak,,,5,58,82,25,0.7,1.01,152,11.6,16.4,5
70,ade,,,6,66,85,34,0.77,1.17,150,11,14.1,5.6
71,FNS,,,11,127,181,39,0.7,0.91,149,11.5,16.4,3.5
72,Benkai,,,5,55,73,14,0.75,0.94,149,11,14.6,2.8
73,Fisker,,,6,67,97,29,0.69,0.98,147,11.1,16.1,4.8
74,Lakia,,,1,7,14,1,0.5,0.57,147,7,14,1
75,BONECOLD,,,10,106,155,63,0.68,1.09,145,10.6,15.5,6.3
76,shiba,,,5,48,77,31,0.62,1.02,128,9.6,15.4,6.2
77,barce,,,2,13,28,12,0.46,0.89,113,6.5,14,6
78,makiba,,,3,18,44,17,0.4,0.79,110,6,14.6,5.6
