Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,kiNgg,,,8,159,117,53,1.35,1.81,260,19.8,14.6,6.6
2,yay,,,23,460,306,42,1.5,1.64,254,20,13.3,1.8
3,Derke,,,15,292,210,42,1.39,1.59,247,19.4,14,2.8
4,ZmjjKK,,,5,88,82,16,1.07,1.26,247,17.6,16.4,3.2
5,Will,,,7,135,116,30,1.16,1.42,245,19.2,16.5,4.2
6,Laz,,,7,128,98,31,1.3,1.62,245,18.2,14,4.4
7,Alfajer,,,15,257,219,69,1.17,1.48,242,17.1,14.6,4.6
8,keznit,,,7,112,111,51,1,1.46,237,16,15.8,7.2
9,Jinggg,,,8,138,146,36,0.94,1.19,234,17.2,18.2,4.5
10,ardiis,,,16,297,275,73,1.08,1.34,234,18.5,17.1,4.5
11,BuZz,,,18,324,311,73,1.04,1.27,233,18,17.2,4
12,Cryocells,,,13,248,196,36,1.26,1.44,232,19,15,2.7
13,Zyppan,,,16,293,268,99,1.09,1.46,232,18.3,16.7,6.1
14,dgzin,,,5,92,84,15,1.09,1.27,224,18.4,16.8,3
15,Mazino,,,7,108,100,58,1.08,1.66,223,15.4,14.2,8.2
16,Dep,,,7,113,115,22,0.98,1.17,222,16.1,16.4,3.1
17,ScreaM,,,12,188,169,53,1.11,1.42,222,15.6,14,4.4
18,Smoggy,,,3,50,47,24,1.06,1.57,221,16.6,15.6,8
19,Less,,,17,295,226,63,1.3,1.58,219,17.3,13.2,3.7
20,zekken,,,13,225,224,59,1,1.26,219,17.3,17.2,4.5
21,Jamppi,,,12,197,175,41,1.12,1.36,218,16.4,14.5,3.4
22,f0rsakeN,,,8,129,133,22,0.96,1.13,215,16.1,16.6,2.7
23,aspas,,,17,274,261,72,1.04,1.32,215,16.1,15.3,4.2
24,NagZ,,,7,110,99,21,1.11,1.32,213,15.7,14.1,3
25,pANcada,,,17,277,221,143,1.25,1.9,210,16.2,13,8.4
26,SUYGETSU,,,16,267,235,105,1.13,1.58,209,16.6,14.6,6.5
27,MaKo,,,18,300,263,179,1.14,1.82,207,16.6,14.6,9.9
28,Victor,,,23,339,341,121,0.99,1.34,203,14.7,14.8,5.2
29,Crws,,,5,74,78,27,0.94,1.29,200,14.8,15.6,5.4
30,BcJ,,,13,200,199,106,1,1.53,199,15.3,15.3,8.1
31,Tehbotol,,,6,103,97,32,1.06,1.39,198,17.1,16.1,5.3
32,Saadhak,,,17,243,240,149,1.01,1.63,198,14.2,14.1,8.7
33,foxz,,,5,71,81,14,0.87,1.04,197,14.2,16.2,2.8
34,Mistic,,,15,224,207,123,1.08,1.67,195,14.9,13.8,8.2
35,crashies,,,23,337,324,180,1.04,1.59,195,14.6,14,7.8
36,Tacolilla,,,8,124,126,39,0.98,1.29,195,15.5,15.7,4.8
37,Shao,,,16,246,221,155,1.11,1.81,194,15.3,13.8,9.6
38,Sacy,,,17,248,217,151,1.14,1.83,194,14.5,12.7,8.8
39,d4v41,,,8,118,123,56,0.95,1.41,193,14.7,15.3,7
40,qck,,,5,77,80,27,0.96,1.3,193,15.4,16,5.4
41,Rb,,,18,275,292,92,0.94,1.25,192,15.2,16.2,5.1
42,bang,,,7,112,104,56,1.07,1.61,192,16,14.8,8
43,TENNN,,,7,92,111,33,0.82,1.12,191,13.1,15.8,4.7
44,adverso,,,8,112,126,51,0.88,1.29,191,14,15.7,6.3
45,SugarZ3ro,,,7,97,108,48,0.89,1.34,190,13.8,15.4,6.8
46,sScary,,,5,68,66,33,1.03,1.53,190,13.6,13.2,6.6
47,Melser,,,8,121,110,59,1.1,1.63,190,15.1,13.7,7.3
