Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,Jinggg,,,12,211,196,59,1.07,1.37,262,17.5,16.3,4.9
2,Sayf,,,10,207,153,40,1.35,1.61,260,20.7,15.3,4
3,Cryocells,,,5,106,76,13,1.39,1.56,249,21.2,15.2,2.6
4,Derke,,,10,195,176,37,1.1,1.31,247,19.5,17.6,3.7
5,yay,,,19,333,273,55,1.21,1.42,246,17.5,14.3,2.8
6,zekken,,,5,97,87,26,1.11,1.41,241,19.4,17.4,5.2
7,trexx,,,10,181,164,78,1.1,1.57,237,18.1,16.4,7.8
8,keznit,,,8,143,137,42,1.04,1.35,237,17.8,17.1,5.2
9,Alfajer,,,10,188,168,59,1.11,1.47,235,18.8,16.8,5.9
10,aspas,,,6,109,94,21,1.15,1.38,232,18.1,15.6,3.5
11,f0rsakeN,,,12,202,190,39,1.06,1.26,231,16.8,15.8,3.2
12,ardiis,,,27,457,376,129,1.21,1.55,230,16.9,13.9,4.7
13,Meteor,,,7,124,107,24,1.15,1.38,229,17.7,15.2,3.4
14,Saadhak,,,6,100,98,52,1.02,1.55,228,16.6,16.3,8.6
15,Surf,,,6,107,101,22,1.05,1.27,220,17.8,16.8,3.6
16,Shao,,,27,422,357,170,1.18,1.65,218,15.6,13.2,6.2
17,Marved,,,19,308,278,111,1.1,1.5,216,16.2,14.6,5.8
18,SUYGETSU,,,17,275,225,78,1.22,1.56,215,16.1,13.2,4.5
19,Rb,,,13,189,187,48,1.01,1.26,215,14.5,14.3,3.6
20,Zyppan,,,27,409,405,115,1,1.29,214,15.1,15,4.2
21,MaKo,,,13,180,162,121,1.11,1.85,212,13.8,12.4,9.3
22,adverso,,,9,158,166,60,0.95,1.31,207,17.5,18.4,6.6
23,Mazino,,,8,133,138,59,0.96,1.39,206,16.6,17.2,7.3
24,Leo,,,10,182,147,67,1.23,1.69,206,18.2,14.7,6.7
25,Victor,,,19,264,298,111,0.88,1.25,204,13.8,15.6,5.8
26,stax,,,13,191,171,100,1.11,1.7,204,14.6,13.1,7.6
27,Tacolilla,,,9,162,142,25,1.14,1.31,204,18,15.7,2.7
28,sScary,,,6,95,96,51,0.98,1.52,199,15.8,16,8.5
29,BuZz,,,13,178,160,28,1.11,1.28,197,13.6,12.3,2.1
30,pANcada,,,6,95,90,40,1.05,1.5,195,15.8,15,6.6
31,foxz,,,6,99,93,35,1.06,1.44,195,16.5,15.5,5.8
32,Boaster,,,10,154,160,93,0.96,1.54,193,15.4,16,9.3
33,mindfreak,,,12,181,153,66,1.18,1.61,193,15,12.7,5.5
34,d4v41,,,12,167,154,98,1.08,1.72,192,13.9,12.8,8.1
35,Zest,,,13,169,172,75,0.98,1.41,192,13,13.2,5.7
36,koldamenta,,,10,152,150,79,1.01,1.54,190,15.2,15,7.9
37,kiNgg,,,9,137,166,59,0.82,1.18,190,15.2,18.4,6.5
38,Melser,,,9,146,153,77,0.95,1.45,185,16.2,17,8.5
39,JoXJo,,,7,102,100,48,1.02,1.5,183,14.5,14.2,6.8
40,crashies,,,19,249,254,136,0.98,1.51,178,13.1,13.3,7.1
41,Crws,,,6,91,103,48,0.88,1.34,178,15.1,17.1,8
42,sushiboys,,,6,82,108,33,0.75,1.06,178,13.6,18,5.5
43,BcJ,,,5,73,81,31,0.9,1.28,176,14.6,16.2,6.2
44,NagZ,,,8,120,131,17,0.91,1.04,175,15,16.3,2.1
45,Shyy,,,9,135,154,75,0.87,1.36,175,15,17.1,8.3
46,xnfri,,,7,89,113,45,0.78,1.18,175,12.7,16.1,6.4
47,Less,,,6,81,93,32,0.87,1.21,172,13.5,15.5,5.3
48,ANGE1,,,27,325,413,154,0.78,1.15,172,12,15.2,5.7
49,Klaus,,,8,107,131,74,0.81,1.38,171,13.3,16.3,9.2
50,Enzo,,,10,141,150,73,0.94,1.42,168,14.1,15,7.3
51,Derialy,,,7,85,116,29,0.73,0.98,167,12.1,16.5,4.1
52,Benkai,,,12,146,157,95,0.92,1.53,166,12.1,13,7.9
53,FNS,,,19,221,270,108,0.81,1.21,159,11.6,14.2,5.6
54,dephh,,,5,68,86,37,0.79,1.22,155,13.6,17.2,7.4
55,BlackWiz,,,7,84,115,35,0.73,1.03,154,12,16.4,5
56,SEIDER,,,10,119,147,46,0.8,1.12,154,11.9,14.7,4.6
57,Sacy,,,6,73,96,37,0.76,1.14,154,12.1,16,6.1
58,AYRIN,,,5,61,88,32,0.69,1.05,151,12.2,17.6,6.4
59,delz1k,,,8,92,127,53,0.72,1.14,148,11.5,15.8,6.6
60,Russ,,,10,108,171,80,0.63,1.09,144,10.8,17.1,8
61,Mistic,,,10,121,160,74,0.75,1.21,143,12.1,16,7.4
