Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,ScreaM,,,11,210,172,75,1.22,1.65,260,19,15.6,6.8
2,yay,,,21,417,317,69,1.31,1.53,252,19.8,15,3.2
3,Sayaplayer,,,5,95,75,15,1.26,1.46,251,19,15,3
4,Jinggg,,,10,184,168,51,1.09,1.39,250,18.4,16.8,5.1
5,aspas,,,11,211,168,35,1.25,1.46,249,19.1,15.2,3.1
6,MaKo,,,13,225,173,107,1.3,1.91,245,17.3,13.3,8.2
7,hoody,,,6,105,97,38,1.08,1.47,242,17.5,16.1,6.3
8,f0rsakeN,,,10,180,156,36,1.15,1.38,242,18,15.6,3.6
9,xand,,,7,125,108,25,1.15,1.38,241,17.8,15.4,3.5
10,H1ber,,,4,63,73,22,0.86,1.16,231,15.7,18.2,5.5
11,Jamppi,,,11,204,175,38,1.16,1.38,231,18.5,15.9,3.4
12,Fearoth,,,4,68,61,19,1.11,1.42,229,17,15.2,4.7
13,Marved,,,21,371,321,168,1.15,1.67,224,17.6,15.2,8
14,BuZz,,,13,208,196,73,1.06,1.43,223,16,15,5.6
15,TENNN,,,21,324,327,94,0.99,1.27,221,15.4,15.5,4.4
16,SugarZ3ro,,,21,345,298,146,1.15,1.64,221,16.4,14.1,6.9
17,Mixwell,,,6,100,97,25,1.03,1.28,216,16.6,16.1,4.1
18,sScary,,,7,120,114,67,1.05,1.64,214,17.1,16.2,9.5
19,Laz,,,21,327,312,82,1.04,1.31,214,15.5,14.8,3.9
20,Victor,,,21,339,327,144,1.03,1.47,213,16.1,15.5,6.8
21,Surf,,,7,121,120,16,1,1.14,212,17.2,17.1,2.2
22,nukkye,,,6,83,99,40,0.83,1.24,211,13.8,16.5,6.6
23,cauanzin,,,7,102,108,45,0.94,1.36,207,14.5,15.4,6.4
24,stax,,,13,197,173,91,1.13,1.66,207,15.1,13.3,7
25,keznit,,,4,64,67,15,0.95,1.17,204,16,16.7,3.7
26,Sacy,,,11,169,159,72,1.06,1.51,202,15.3,14.4,6.5
27,Less,,,11,166,164,61,1.01,1.38,202,15,14.9,5.5
28,soulcas,,,11,153,169,91,0.9,1.44,199,13.9,15.3,8.2
29,Nivera,,,11,178,157,24,1.13,1.28,198,16.1,14.2,2.1
30,JonahP,,,5,77,80,20,0.96,1.21,198,15.4,16,4
31,Mistic,,,4,59,64,27,0.92,1.34,198,14.7,16,6.7
32,Zest,,,13,194,171,64,1.13,1.5,196,14.9,13.1,4.9
33,Dep,,,21,299,312,105,0.95,1.29,194,14.2,14.8,5
34,crashies,,,21,315,304,147,1.03,1.51,194,15,14.4,7
35,sushiboys,,,7,112,117,22,0.95,1.14,194,16,16.7,3.1
36,bezn1,,,7,92,108,51,0.85,1.32,191,13.1,15.4,7.2
37,NagZ,,,4,64,67,12,0.95,1.13,190,16,16.7,3
38,foxz,,,7,105,124,41,0.84,1.17,189,15,17.7,5.8
39,Magnum,,,4,52,69,21,0.75,1.05,187,13,17.2,5.2
40,Rb,,,13,173,195,45,0.88,1.11,184,13.3,15,3.4
41,Benkai,,,10,141,132,53,1.06,1.46,183,14.1,13.2,5.3
42,Klaus,,,4,53,68,34,0.77,1.27,182,13.2,17,8.5
43,Jonn,,,7,93,113,32,0.82,1.1,181,13.2,16.1,4.5
44,d4v41,,,10,129,147,71,0.87,1.36,180,12.9,14.7,7.1
45,pANcada,,,11,165,172,58,0.95,1.29,180,15,15.6,5.2
46,delz1k,,,4,56,70,28,0.8,1.2,180,14,17.5,7
47,neT,,,5,67,77,14,0.87,1.05,179,13.4,15.4,2.8
48,valyn,,,5,67,78,43,0.85,1.41,178,13.4,15.6,8.6
49,Saadhak,,,11,141,185,83,0.76,1.21,174,12.8,16.8,7.5
50,AvovA,,,6,75,96,38,0.78,1.17,169,12.5,16,6.3
51,Crws,,,7,95,123,33,0.77,1.04,168,13.5,17.5,4.7
52,Mazino,,,4,50,73,16,0.68,0.9,166,12.5,18.2,4
53,crow,,,21,247,302,122,0.81,1.22,164,11.7,14.3,5.8
54,L1NK,,,11,150,155,72,0.96,1.43,164,13.6,14,6.5
55,trent,,,5,63,79,19,0.79,1.03,162,12.6,15.8,3.8
56,FNS,,,21,261,323,116,0.8,1.16,162,12.4,15.3,5.5
57,bnj,,,7,82,95,37,0.86,1.25,159,11.7,13.5,5.2
58,mindfreak,,,10,116,147,80,0.78,1.33,158,11.6,14.7,8
59,Meddo,,,6,69,91,15,0.75,0.92,152,11.5,15.1,2.5
60,Boaster,,,4,37,69,27,0.53,0.92,133,9.2,17.2,6.7
