Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,keznit,,,4,79,70,21,1.12,1.42,266,19.7,17.5,5.2
2,whzy,,,11,212,181,41,1.17,1.39,254,19.2,16.4,3.7
3,Demon1,,,21,421,302,80,1.39,1.65,246,20,14.3,3.8
4,aspas,,,24,446,355,82,1.25,1.48,235,18.5,14.7,3.4
5,Jinggg,,,16,285,279,92,1.02,1.35,234,17.8,17.4,5.7
6,ardiis,,,6,106,94,22,1.12,1.36,232,17.6,15.6,3.6
7,Alfajer,,,14,233,168,36,1.38,1.6,232,16.6,12,2.5
8,AAAAY,,,4,76,57,16,1.33,1.61,231,19,14.2,4
9,Sayaplayer,,,6,105,94,15,1.11,1.27,230,17.5,15.6,2.5
10,jawgemo,,,21,362,325,154,1.11,1.58,228,17.2,15.4,7.3
11,BuZz,,,13,221,216,54,1.02,1.27,228,17,16.6,4.1
12,Less,,,24,416,344,100,1.2,1.5,227,17.3,14.3,4.1
13,Fit1nho,,,7,130,127,31,1.02,1.26,227,18.5,18.1,4.4
14,ZmjjKK,,,16,286,273,66,1.04,1.28,226,17.8,17,4.1
15,Dep,,,4,70,65,6,1.07,1.16,226,17.5,16.2,1.5
16,Sayf,,,4,69,68,26,1.01,1.39,222,17.2,17,6.5
17,Victor,,,6,106,99,25,1.07,1.32,221,17.6,16.5,4.1
18,cNed,,,8,163,135,34,1.2,1.45,220,20.3,16.8,4.2
19,Derke,,,14,206,180,44,1.14,1.38,218,14.7,12.8,3.1
20,cauanzin,,,24,391,348,207,1.12,1.71,217,16.2,14.5,8.6
21,Cloud,,,7,123,111,62,1.1,1.66,216,17.5,15.8,8.8
22,Munchkin,,,6,90,97,29,0.92,1.22,211,15,16.1,4.8
23,nAts,,,4,70,64,14,1.09,1.31,211,17.5,16,3.5
24,something,,,16,269,245,73,1.09,1.39,210,16.8,15.3,4.5
25,MrFaliN,,,10,160,143,74,1.11,1.63,209,16,14.3,7.4
26,Lysoar,,,4,60,63,14,0.95,1.17,208,15,15.7,3.5
27,yosemite,,,11,172,166,64,1.03,1.42,207,15.6,15,5.8
28,Yuicaw,,,4,59,68,13,0.86,1.05,206,14.7,17,3.2
29,Leo,,,14,201,147,119,1.36,2.17,206,14.3,10.5,8.5
30,f0rsakeN,,,16,256,255,121,1,1.47,205,16,15.9,7.5
31,hoody,,,7,113,113,74,1,1.65,204,16.1,16.1,10.5
32,Smoggy,,,16,261,265,77,0.98,1.27,201,16.3,16.5,4.8
33,Zest,,,13,197,201,91,0.98,1.43,200,15.1,15.4,7
34,nobody,,,16,248,266,117,0.93,1.37,198,15.5,16.6,7.3
35,Zyppan,,,8,136,154,59,0.88,1.26,198,17,19.2,7.3
36,CHICHOO,,,16,245,236,110,1.03,1.5,197,15.3,14.7,6.8
37,ATA KAPTAN,,,10,136,154,116,0.88,1.63,196,13.6,15.4,11.6
38,C0M,,,21,330,294,144,1.12,1.61,195,15.7,14,6.8
39,Ethan,,,21,303,303,265,1,1.87,193,14.4,14.4,12.6
40,SUYGETSU,,,8,148,123,34,1.2,1.47,193,18.5,15.3,4.2
41,qRaxs,,,10,145,155,91,0.93,1.52,192,14.5,15.5,9.1
42,d4v41,,,16,243,227,153,1.07,1.74,192,15.1,14.1,9.5
43,mojj,,,10,141,152,60,0.92,1.32,192,14.1,15.2,6
44,qw1,,,10,151,163,18,0.92,1.03,190,15.1,16.3,1.8
45,MaKo,,,13,183,189,145,0.96,1.73,190,14,14.5,11.1
46,Knight,,,11,157,172,76,0.91,1.35,188,14.2,15.6,6.9
47,Biank,,,11,155,174,85,0.89,1.37,188,14,15.8,7.7
48,Boostio,,,21,291,335,119,0.86,1.22,187,13.8,15.9,5.6
49,xeta,,,6,82,87,34,0.94,1.33,187,13.6,14.5,5.6
50,nukkye,,,7,105,119,31,0.88,1.14,185,15,17,4.4
51,Saadhak,,,24,310,355,252,0.87,1.58,185,12.9,14.7,10.5
52,crashies,,,6,90,89,44,1.01,1.5,182,15,14.8,7.3
53,Daveeys,,,4,58,52,15,1.11,1.4,182,14.5,13,3.7
54,Boaster,,,14,163,182,114,0.89,1.52,177,11.6,13,8.1
55,ANGE1,,,8,120,161,89,0.74,1.29,176,15,20.1,11.1
56,ban,,,6,80,98,43,0.81,1.25,176,13.3,16.3,7.1
57,stax,,,13,182,198,101,0.91,1.42,175,14,15.2,7.7
58,rhyme,,,7,94,113,87,0.83,1.6,174,13.4,16.1,12.4
59,s0m,,,6,88,82,53,1.07,1.71,172,14.6,13.6,8.8
60,Chronicle,,,14,156,176,116,0.88,1.54,169,11.1,12.5,8.2
61,FNS,,,6,67,93,53,0.72,1.29,168,11.1,15.5,8.8
62,Haodong,,,16,212,254,167,0.83,1.49,168,13.2,15.8,10.4
63,Shao,,,8,126,129,70,0.97,1.51,168,15.7,16.1,8.7
64,mindfreak,,,16,214,220,132,0.97,1.57,164,13.3,13.7,8.2
65,tuyz,,,24,304,317,247,0.95,1.73,163,12.6,13.2,10.2
66,Rb,,,13,163,191,45,0.85,1.08,162,12.5,14.6,3.4
67,Redgar,,,4,49,71,32,0.69,1.14,162,12.2,17.7,8
68,Jamppi,,,4,56,66,6,0.84,0.93,162,14,16.5,1.5
69,Klaus,,,4,49,69,25,0.71,1.07,157,12.2,17.2,6.2
70,BerLIN,,,4,40,67,29,0.59,1.02,155,10,16.7,7.2
71,Laz,,,4,48,60,11,0.8,0.98,154,12,15,2.7
72,Carpe,,,6,70,103,32,0.67,0.99,149,11.6,17.1,5.3
73,NagZ,,,4,43,60,29,0.71,1.2,149,10.7,15,7.2
74,TENNN,,,4,44,66,9,0.66,0.8,146,11,16.5,2.2
75,Melser,,,4,44,69,24,0.63,0.98,145,11,17.2,6
76,rin,,,11,122,167,81,0.73,1.21,144,11,15.1,7.3
77,TZH,,,4,42,59,23,0.71,1.1,137,10.5,14.7,5.7
78,soulcas,,,4,44,58,25,0.75,1.18,134,11,14.5,6.2
79,SugarZ3ro,,,4,38,58,24,0.65,1.06,115,9.5,14.5,6
80,crow,,,4,29,61,23,0.47,0.85,106,7.2,15.2,5.7
