Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,Shin,,,5,97,74,28,1.31,1.68,276,19.4,14.8,5.6
2,trexx,,,2,46,27,9,1.7,2.03,275,23,13.5,4.5
3,k1Ng,,,2,44,32,23,1.37,2.09,267,22,16,11.5
4,Twisten,,,5,99,73,16,1.35,1.57,263,19.8,14.6,3.2
5,Nivera,,,5,93,70,37,1.32,1.85,262,18.6,14,7.4
6,qw1,,,5,98,81,20,1.2,1.45,259,19.6,16.2,4
7,JessieVash,,,4,71,67,25,1.05,1.43,258,17.7,16.7,6.2
8,nAts,,,2,40,30,13,1.33,1.76,258,20,15,6.5
9,Derke,,,14,274,220,58,1.24,1.5,256,19.5,15.7,4.1
10,CHICHOO,,,3,62,49,13,1.26,1.53,253,20.6,16.3,4.3
11,keloqz,,,2,38,33,5,1.15,1.3,251,19,16.5,2.5
12,heat,,,2,37,36,10,1.02,1.3,250,18.5,18,5
13,Jamppi,,,2,32,33,10,0.96,1.27,245,16,16.5,5
14,QutionerX,,,3,51,52,7,0.98,1.11,241,17,17.3,2.3
15,MaKo,,,14,219,175,163,1.25,2.18,240,15.6,12.5,11.6
16,cNed,,,9,146,125,37,1.16,1.46,239,16.2,13.8,4.1
17,Meteor,,,2,39,37,10,1.05,1.32,239,19.5,18.5,5
18,ZmjjKK,,,3,62,50,11,1.24,1.46,238,20.6,16.6,3.6
19,BuZz,,,14,227,201,56,1.12,1.4,238,16.2,14.3,4
20,Ethan,,,4,71,61,48,1.16,1.95,237,17.7,15.2,12
21,Shyy,,,6,109,79,25,1.37,1.69,237,18.1,13.1,4.1
22,MOLSI,,,5,89,73,53,1.21,1.94,234,17.8,14.6,10.6
23,ceNder,,,5,85,73,19,1.16,1.42,233,17,14.6,3.8
24,leaf,,,5,72,58,26,1.24,1.68,233,14.4,11.6,5.2
25,Cloud,,,5,80,66,14,1.21,1.42,233,16,13.2,2.8
26,Emman,,,2,32,29,18,1.1,1.72,233,16,14.5,9
27,mwzera,,,4,85,65,33,1.3,1.81,230,21.2,16.2,8.2
28,garnetS,,,7,128,117,24,1.09,1.29,230,18.2,16.7,3.4
29,Xeppaa,,,5,77,62,25,1.24,1.64,229,15.4,12.4,5
30,ardiis,,,8,142,125,49,1.13,1.52,228,17.7,15.6,6.1
31,Less,,,17,312,255,95,1.22,1.59,227,18.3,15,5.5
32,Leo,,,14,243,172,100,1.41,1.99,225,17.3,12.2,7.1
