Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,ZmjjKK,,,15,329,254,59,1.29,1.52,273,21.9,16.9,3.9
2,Jinggg,,,15,285,262,78,1.08,1.38,253,19,17.4,5.2
3,aspas,,,4,66,65,15,1.01,1.24,252,16.5,16.2,3.7
4,cNed,,,5,106,103,27,1.02,1.29,247,21.2,20.6,5.4
5,Derke,,,10,173,147,42,1.17,1.46,247,17.3,14.7,4.2
6,Sayf,,,8,139,129,39,1.07,1.37,246,17.3,16.1,4.8
7,Chronicle,,,10,174,131,91,1.32,2.02,236,17.4,13.1,9.1
8,Rb,,,11,196,165,55,1.18,1.52,235,17.8,15,5
9,Alfajer,,,10,184,113,34,1.62,1.92,229,18.4,11.3,3.4
10,qw1,,,8,137,116,21,1.18,1.36,225,17.1,14.5,2.6
11,Life,,,5,79,82,15,0.96,1.14,221,15.8,16.4,3
12,Boostio,,,19,310,289,80,1.07,1.34,220,16.3,15.2,4.2
13,BuZz,,,11,169,167,40,1.01,1.25,220,15.3,15.1,3.6
14,Victor,,,16,261,237,95,1.1,1.5,218,16.3,14.8,5.9
15,monk,,,5,71,78,32,0.91,1.32,216,14.2,15.6,6.4
16,Foxy9,,,4,57,67,18,0.85,1.11,215,14.2,16.7,4.5
17,f0rsakeN,,,15,243,259,86,0.93,1.27,215,16.2,17.2,5.7
18,nAts,,,8,130,120,26,1.08,1.3,213,16.2,15,3.2
19,Sayaplayer,,,8,132,140,24,0.94,1.11,212,16.5,17.5,3
20,jawgemo,,,19,290,279,121,1.03,1.47,211,15.2,14.6,6.3
21,ardiis,,,16,255,239,76,1.06,1.38,211,15.9,14.9,4.7
22,Demon1,,,19,318,267,69,1.19,1.44,210,16.7,14,3.6
23,Munchkin,,,8,119,122,34,0.97,1.25,209,14.8,15.2,4.2
24,s0m,,,16,264,228,151,1.15,1.82,209,16.5,14.2,9.4
25,qRaxs,,,8,111,124,71,0.89,1.46,206,13.8,15.5,8.8
26,YHchen,,,5,67,74,60,0.9,1.71,206,13.4,14.8,12
27,SUYGETSU,,,5,91,78,28,1.16,1.52,205,18.2,15.6,5.6
28,Leo,,,10,150,102,94,1.47,2.39,200,15,10.2,9.4
29,Less,,,4,57,64,16,0.89,1.14,199,14.2,16,4
30,MaKo,,,11,152,156,122,0.97,1.75,195,13.8,14.1,11
31,Smoggy,,,15,251,222,92,1.13,1.54,195,16.7,14.8,6.1
32,nobody,,,15,233,242,112,0.96,1.42,191,15.5,16.1,7.4
33,CHICHOO,,,15,232,213,84,1.08,1.48,191,15.4,14.2,5.6
34,Shao,,,5,90,78,27,1.15,1.5,190,18,15.6,5.4
35,Ethan,,,19,262,246,231,1.06,2,190,13.7,12.9,12.1
36,d4v41,,,15,222,223,134,0.99,1.59,188,14.8,14.8,8.9
37,Haodong,,,15,228,232,124,0.98,1.51,187,15.2,15.4,8.2
38,mojj,,,8,110,112,31,0.98,1.25,184,13.7,14,3.8
39,C0M,,,19,252,255,147,0.98,1.56,183,13.2,13.4,7.7
40,ATA KAPTAN,,,8,104,112,75,0.92,1.59,182,13,14,9.3
41,ban,,,8,110,131,44,0.83,1.17,181,13.7,16.3,5.5
42,Bunt,,,5,66,84,40,0.78,1.26,179,13.2,16.8,8
43,Jamppi,,,8,106,121,58,0.87,1.35,177,13.2,15.1,7.2
44,soulcas,,,8,109,116,49,0.93,1.36,176,13.6,14.5,6.1
45,Carpe,,,8,105,129,83,0.81,1.45,176,13.1,16.1,10.3
46,mindfreak,,,15,211,228,115,0.92,1.42,174,14,15.2,7.6
47,MrFaliN,,,8,97,113,63,0.85,1.41,174,12.1,14.1,7.8
48,FNS,,,16,213,240,116,0.88,1.37,173,13.3,15,7.2
49,Boaster,,,10,116,127,110,0.91,1.77,171,11.6,12.7,11
50,cauanzin,,,4,48,67,21,0.71,1.02,170,12,16.7,5.2
51,crashies,,,16,212,229,139,0.92,1.53,166,13.2,14.3,8.6
52,Zyppan,,,5,73,91,40,0.8,1.24,163,14.6,18.2,8
53,tuyz,,,4,43,64,31,0.67,1.15,163,10.7,16,7.7
54,ANGE1,,,5,65,93,47,0.69,1.2,163,13,18.6,9.4
55,stax,,,11,130,167,108,0.77,1.42,162,11.8,15.1,9.8
56,xeta,,,8,91,126,59,0.72,1.19,157,11.3,15.7,7.3
57,Zest,,,7,80,103,58,0.77,1.33,154,11.4,14.7,8.2
58,hfmi0dzjc9z7,,,5,55,77,22,0.71,1,151,11,15.4,4.4
59,CigaretteS,,,15,173,237,105,0.72,1.17,150,11.5,15.8,7
60,Redgar,,,8,82,118,70,0.69,1.28,136,10.2,14.7,8.7
61,Saadhak,,,4,32,65,32,0.49,0.98,130,8,16.2,8
