Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,Derke,,,14,269,202,54,1.33,1.59,257,19.2,14.4,3.8
2,zekken,,,17,323,275,94,1.17,1.51,252,19,16.1,5.5
3,ZmjjKK,,,21,394,329,95,1.19,1.48,251,18.7,15.6,4.5
4,keznitdeuS,,,8,130,112,51,1.16,1.61,251,16.2,14,6.3
5,whzy,,,4,62,68,16,0.91,1.14,245,15.5,17,4
6,Primmie,,,4,75,57,23,1.31,1.71,243,18.7,14.2,5.7
7,t3xture,,,7,128,109,27,1.17,1.42,242,18.2,15.5,3.8
8,BuZz,,,12,198,178,40,1.11,1.33,241,16.5,14.8,3.3
9,Meteor,,,7,137,104,26,1.31,1.56,241,19.5,14.8,3.7
10,yetujey,,,4,72,63,16,1.14,1.39,232,18,15.7,4
11,trexx,,,7,123,99,52,1.24,1.76,228,17.5,14.1,7.4
12,Chronicle,,,14,227,185,84,1.22,1.68,224,16.2,13.2,6
13,cNed,,,4,68,69,11,0.98,1.14,222,17,17.2,2.7
14,CHICHOO,,,21,353,284,129,1.24,1.69,221,16.8,13.5,6.1
15,aspas,,,18,326,274,68,1.18,1.43,221,18.1,15.2,3.7
16,RieNs,,,25,419,359,158,1.16,1.6,214,16.7,14.3,6.3
17,Kai,,,10,158,143,36,1.1,1.35,214,15.8,14.3,3.6
18,TenZ,,,17,271,251,158,1.07,1.7,213,15.9,14.7,9.2
19,Smoggy,,,21,340,281,165,1.2,1.79,213,16.1,13.3,7.8
20,autumn,,,5,86,77,27,1.11,1.46,212,17.2,15.4,5.4
21,Shyy,,,8,121,104,40,1.16,1.54,211,15.1,13,5
22,mindfreak,,,7,104,100,58,1.04,1.62,210,14.8,14.2,8.2
23,Sayf,,,7,109,106,33,1.02,1.33,210,15.5,15.1,4.7
24,Alfajer,,,14,220,198,68,1.11,1.45,210,15.7,14.1,4.8
25,Jinggg,,,7,94,107,49,0.87,1.33,210,13.4,15.2,7
26,MiniBoo,,,25,398,403,97,0.98,1.22,206,15.9,16.1,3.8
27,runneR,,,7,101,115,40,0.87,1.22,205,14.4,16.4,5.7
28,something,,,7,97,104,36,0.93,1.27,205,13.8,14.8,5.1
29,FengF,,,10,147,144,21,1.02,1.16,203,14.7,14.4,2.1
30,leaf,,,9,140,150,37,0.93,1.18,203,15.5,16.6,4.1
31,Flashback,,,12,177,153,54,1.15,1.5,202,14.7,12.7,4.5
32,LuoK1ng,,,10,155,141,73,1.09,1.61,202,15.5,14.1,7.3
33,trent,,,9,130,146,61,0.89,1.3,196,14.4,16.2,6.7
34,Mazino,,,18,279,298,146,0.93,1.42,195,15.5,16.5,8.1
35,tex,,,18,280,307,76,0.91,1.15,194,15.5,17,4.2
36,C0M,,,18,260,274,109,0.94,1.34,193,14.4,15.2,6
37,MaKo,,,12,157,158,95,0.99,1.59,193,13,13.1,7.9
38,Munchkin,,,7,92,109,75,0.84,1.53,191,13.1,15.5,10.7
39,heat,,,8,114,105,40,1.08,1.46,191,14.2,13.1,5
40,valyn,,,9,139,140,67,0.99,1.47,191,15.4,15.5,7.4
41,benjyfishy,,,25,388,380,99,1.02,1.28,190,15.5,15.2,3.9
42,Sacy,,,17,222,247,162,0.89,1.55,190,13,14.5,9.5
43,Wo0t,,,25,363,376,213,0.96,1.53,189,14.5,15,8.5
44,Kicks,,,7,95,103,75,0.92,1.65,187,13.5,14.7,10.7
45,hiro,,,14,193,190,83,1.01,1.45,185,13.7,13.5,5.9
46,kiNgg,,,18,271,261,148,1.03,1.6,185,15,14.5,8.2
47,ban,,,4,58,56,17,1.03,1.33,184,14.5,14,4.2
48,JonahP,,,9,125,151,56,0.82,1.19,184,13.8,16.7,6.2
49,Governor,,,4,50,66,21,0.75,1.07,183,12.5,16.5,5.2
50,icy,,,9,129,147,42,0.87,1.16,183,14.3,16.3,4.6
51,Flex1n,,,4,50,60,25,0.83,1.25,182,12.5,15,6.2
52,f0rsakeN,,,7,94,101,42,0.93,1.34,182,13.4,14.4,6
53,AAAAY,,,5,81,77,20,1.05,1.31,182,16.2,15.4,4
54,JitboyS,,,4,50,69,19,0.72,1,182,12.5,17.2,4.7
55,d4v41,,,7,89,102,38,0.87,1.24,181,12.7,14.5,5.4
56,Karon,,,7,103,103,64,1,1.62,181,14.7,14.7,9.1
57,Foxy9,,,12,152,164,97,0.92,1.51,180,12.6,13.6,8
58,nobody,,,21,282,298,126,0.94,1.36,180,13.4,14.1,6
59,Boo,,,25,354,372,210,0.95,1.51,180,14.1,14.8,8.4
60,BerLIN,,,5,71,77,41,0.92,1.45,178,14.2,15.4,8.2
61,Melser,,,8,94,109,47,0.86,1.29,178,11.7,13.6,5.8
62,Life,,,5,69,89,16,0.77,0.95,176,13.8,17.8,3.2
63,BeYN,,,12,153,158,63,0.96,1.36,176,12.7,13.1,5.2
64,Zellsis,,,17,220,236,149,0.93,1.56,175,12.9,13.8,8.7
65,mta,,,8,97,112,42,0.86,1.24,174,12.1,14,5.2
66,MrFaliN,,,4,49,65,31,0.75,1.23,173,12.2,16.2,7.7
67,nephh,,,4,42,62,25,0.67,1.08,167,10.5,15.5,6.2
68,ceNder,,,7,96,107,48,0.89,1.34,167,13.7,15.2,6.8
69,Lysoar,,,5,66,85,42,0.77,1.27,166,13.2,17,8.4
70,Biank,,,10,113,145,71,0.77,1.26,166,11.3,14.5,7.1
71,S1Mon,,,21,256,287,220,0.89,1.65,165,12.1,13.6,10.4
72,HeiB,,,10,117,148,84,0.79,1.35,163,11.7,14.8,8.4
73,johnqt,,,17,214,212,101,1,1.48,162,12.5,12.4,5.9
74,ATA KAPTAN,,,4,47,63,30,0.74,1.22,161,11.7,15.7,7.5
75,qRaxs,,,4,50,57,26,0.87,1.33,156,12.5,14.2,6.5
76,Knight,,,4,40,60,33,0.66,1.21,148,10,15,8.2
77,Crws,,,4,38,67,20,0.56,0.86,134,9.5,16.7,5
78,yosemite,,,4,31,60,18,0.51,0.81,127,7.7,15,4.5
79,Boaster,,,14,125,185,95,0.67,1.18,122,8.9,13.2,6.7
80,Lakia,,,7,60,108,46,0.55,0.98,118,8.5,15.4,6.5
