Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,Derke,,,6,108,92,29,1.17,1.48,258,18,15.3,4.8
2,Wo0t,,,25,427,352,85,1.21,1.45,248,17,14,3.4
3,ZmjjKK,,,4,63,69,12,0.91,1.08,243,15.7,17.2,3
4,t3xture,,,18,328,272,55,1.2,1.4,241,18.2,15.1,3
5,Life,,,9,174,173,45,1,1.26,239,19.3,19.2,5
6,something,,,8,138,123,49,1.12,1.52,237,17.2,15.3,6.1
7,aspas,,,8,137,117,28,1.17,1.41,237,17.1,14.6,3.5
8,Smoggy,,,4,64,58,20,1.1,1.44,237,16,14.5,5
9,Meteor,,,18,326,267,51,1.22,1.41,230,18.1,14.8,2.8
10,vo0kashu,,,4,63,63,26,1,1.41,223,15.7,15.7,6.5
11,Alfajer,,,6,98,89,28,1.1,1.41,221,16.3,14.8,4.6
12,tex,,,8,125,108,37,1.15,1.5,219,15.6,13.5,4.6
13,Cryocells,,,9,146,137,48,1.06,1.41,219,16.2,15.2,5.3
14,Rossy,,,5,77,67,28,1.14,1.56,217,15.4,13.4,5.6
15,Jinggg,,,8,132,134,36,0.98,1.25,217,16.5,16.7,4.5
16,cNed,,,15,235,233,60,1,1.26,216,15.6,15.5,4
17,BerLIN,,,9,153,150,70,1.02,1.48,212,17,16.6,7.7
18,iZu,,,5,74,89,30,0.83,1.16,210,14.8,17.8,6
19,kiNgg,,,8,121,115,52,1.05,1.5,210,15.1,14.3,6.5
20,TZH,,,4,67,64,21,1.04,1.37,209,16.7,16,5.2
21,leaf,,,17,248,254,79,0.97,1.28,208,14.5,14.9,4.6
22,RieNs,,,25,362,317,191,1.14,1.74,207,14.4,12.6,7.6
23,JonahP,,,17,246,245,121,1,1.49,203,14.4,14.4,7.1
24,Asuna,,,9,131,134,57,0.97,1.4,202,14.5,14.8,6.3
25,TvirusLuke,,,4,55,74,15,0.74,0.94,202,13.7,18.5,3.7
26,bang,,,9,131,130,47,1,1.36,200,14.5,14.4,5.2
27,Mazino,,,8,119,118,59,1,1.5,199,14.8,14.7,7.3
28,paTiTek,,,25,338,323,201,1.04,1.66,198,13.5,12.9,8
29,Carpe,,,5,73,71,29,1.02,1.43,196,14.6,14.2,5.8
30,icy,,,17,232,258,84,0.89,1.22,196,13.6,15.1,4.9
31,benjyfishy,,,25,353,319,99,1.1,1.41,196,14.1,12.7,3.9
32,autumn,,,9,140,142,72,0.98,1.49,193,15.5,15.7,8
33,Karon,,,18,270,238,175,1.13,1.86,193,15,13.2,9.7
34,ATA KAPTAN,,,15,209,229,105,0.91,1.37,192,13.9,15.2,7
35,AAAAY,,,9,156,143,40,1.09,1.37,191,17.3,15.8,4.4
36,yetujey,,,15,205,206,63,0.99,1.3,189,13.6,13.7,4.2
37,f0rsakeN,,,8,114,128,74,0.89,1.46,189,14.2,16,9.2
38,eeiu,,,9,124,124,47,1,1.37,188,13.7,13.7,5.2
39,Lakia,,,18,256,243,131,1.05,1.59,188,14.2,13.5,7.2
40,CHICHOO,,,4,51,58,20,0.87,1.22,186,12.7,14.5,5
41,Leo,,,6,81,80,45,1.01,1.57,186,13.5,13.3,7.5
42,trent,,,17,212,248,111,0.85,1.3,184,12.4,14.5,6.5
43,Boostio,,,9,125,137,37,0.91,1.18,183,13.8,15.2,4.1
44,Nicc,,,4,50,63,24,0.79,1.17,183,12.5,15.7,6
45,d4v41,,,8,117,114,55,1.02,1.5,182,14.6,14.2,6.8
46,qRaxs,,,15,198,222,115,0.89,1.4,181,13.2,14.8,7.6
47,mindfreak,,,8,110,121,55,0.9,1.36,180,13.7,15.1,6.8
48,xccurate,,,5,69,78,19,0.88,1.12,180,13.8,15.6,3.8
49,valyn,,,17,222,241,124,0.92,1.43,178,13,14.1,7.2
50,Boo,,,25,320,306,207,1.04,1.72,177,12.8,12.2,8.2
51,Munchkin,,,18,239,244,151,0.97,1.59,177,13.2,13.5,8.3
52,MrFaliN,,,15,186,222,126,0.83,1.4,173,12.4,14.8,8.4
53,Sayaplayer,,,5,64,77,17,0.83,1.05,173,12.8,15.4,3.4
54,Chronicle,,,6,74,91,41,0.81,1.26,172,12.3,15.1,6.8
55,nobody,,,4,44,63,23,0.69,1.06,159,11,15.7,5.7
56,Lysoar,,,9,109,145,47,0.75,1.07,148,12.1,16.1,5.2
57,C0M,,,8,81,111,42,0.72,1.1,146,10.1,13.8,5.2
58,Boaster,,,6,59,91,39,0.64,1.07,137,9.8,15.1,6.5
59,Haodong,,,4,35,65,16,0.53,0.78,136,8.7,16.2,4
60,Shion7,,,4,36,65,18,0.55,0.83,122,9,16.2,4.5
