Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,nAts,,,7,141,107,29,1.31,1.58,258,20.1,15.2,4.1
2,Derke,,,10,204,170,38,1.2,1.42,257,20.4,17,3.8
3,BuZz,,,21,370,331,107,1.11,1.44,239,17.6,15.7,5
4,ZmjjKK,,,14,260,249,59,1.04,1.28,236,18.5,17.7,4.2
5,CHICHOO,,,14,271,213,87,1.27,1.68,236,19.3,15.2,6.2
6,Meteor,,,21,366,337,103,1.08,1.39,229,17.4,16,4.9
7,free1ng,,,7,117,101,38,1.15,1.53,227,16.7,14.4,5.4
8,trent,,,16,274,226,116,1.21,1.72,220,17.1,14.1,7.2
9,jawgemo,,,16,277,262,104,1.05,1.45,218,17.3,16.3,6.5
10,kamo,,,7,117,115,23,1.01,1.21,215,16.7,16.4,3.2
11,G2_valyn,,,5,94,82,51,1.14,1.76,210,18.8,16.4,10.2
12,trexx,,,10,153,150,98,1.02,1.67,207,15.3,15,9.8
13,leaf,,,16,267,244,91,1.09,1.46,207,16.6,15.2,5.6
14,iZu,,,21,341,276,96,1.23,1.58,207,16.2,13.1,4.5
15,HYUNMIN,,,7,108,121,33,0.89,1.16,206,15.4,17.2,4.7
16,N4RRATE,,,5,75,77,40,0.97,1.49,203,15,15.4,8
17,Kai,,,4,54,62,9,0.87,1.01,201,13.5,15.5,2.2
18,keiko,,,7,117,107,52,1.09,1.57,199,16.7,15.2,7.4
19,Less,,,10,163,159,69,1.02,1.45,197,16.3,15.9,6.9
20,zekken,,,5,72,73,11,0.98,1.13,197,14.4,14.6,2.2
21,Smoggy,,,14,203,219,152,0.92,1.62,191,14.5,15.6,10.8
22,JonahP,,,16,235,254,164,0.92,1.57,188,14.6,15.8,10.2
23,Sylvan,,,19,260,267,262,0.97,1.95,186,13.6,14,13.7
24,bang,,,5,67,74,33,0.9,1.35,186,13.4,14.8,6.6
25,BeYN,,,7,95,92,65,1.03,1.73,182,13.5,13.1,9.2
26,Flashback,,,7,101,101,26,1,1.25,180,14.4,14.4,3.7
27,kamyk,,,7,95,112,38,0.84,1.18,180,13.5,16,5.4
28,nobody,,,14,195,216,71,0.9,1.23,180,13.9,15.4,5
29,valyn,,,11,150,149,107,1,1.72,176,13.6,13.5,9.7
30,Kicks,,,10,142,153,82,0.92,1.46,174,14.2,15.3,8.2
31,stax,,,21,284,282,154,1,1.55,174,13.5,13.4,7.3
32,MaKo,,,7,85,103,72,0.82,1.52,173,12.1,14.7,10.2
33,Biank,,,4,41,57,18,0.71,1.03,167,10.2,14.2,4.5
34,johnqt,,,5,61,77,26,0.79,1.12,160,12.2,15.4,5.2
35,Zellsis,,,5,51,81,40,0.62,1.12,160,10.2,16.2,8
36,Sayf,,,10,119,160,56,0.74,1.09,156,11.9,16,5.6
37,LuoK1ng,,,4,40,60,23,0.66,1.05,156,10,15,5.7
38,S1Mon,,,14,169,225,133,0.75,1.34,151,12,16,9.5
39,FengF,,,4,35,63,12,0.55,0.74,151,8.7,15.7,3
40,paTiTek,,,7,73,112,67,0.65,1.25,144,10.4,16,9.5
41,carpe,,,2,20,35,17,0.57,1.05,140,10,17.5,8.5
42,HeiB,,,4,31,57,22,0.54,0.92,134,7.7,14.2,5.5
